date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:50:59	26/26	---M--	200	added ('OK')	text/plain	etag:%22605c5155-1a%22	https://usa.dtdc.com/robots.txt		(from )
11:51:00	61149/61149	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202022%2010:51:00%20GMT	https://usa.dtdc.com/	C:/Users/APPTIDE%20TECHNOLOGIES/Documents/TRIUMPH/dtdc_httrack_copied/usa.dtdc.com/index.html	(from )
11:51:00	2770/2770	---MC-	200	added ('OK')	application/rss+xml	etag:%221659695275-0%22	https://usa.dtdc.com/rss.xml	C:/Users/APPTIDE%20TECHNOLOGIES/Documents/TRIUMPH/dtdc_httrack_copied/usa.dtdc.com/rss.xml	(from https://usa.dtdc.com/)
11:51:00	1082/1082	---M--	200	added ('OK')	image/x-icon	etag:%2260dc4c37-43a%22	https://usa.dtdc.com/sites/usa.dtdc.com/themes/usa_dtdc/favicon.ico	C:/Users/APPTIDE%20TECHNOLOGIES/Documents/TRIUMPH/dtdc_httrack_copied/usa.dtdc.com/sites/usa.dtdc.com/themes/usa_dtdc/favicon.ico	(from https://usa.dtdc.com/)
11:51:01	102052/102052	---M-Z	200	added ('OK')	application/javascript	etag:%2227a0736d869ad81:0%22	https://consent.cookiebot.com/uc.js	C:/Users/APPTIDE%20TECHNOLOGIES/Documents/TRIUMPH/dtdc_httrack_copied/consent.cookiebot.com/uc.js	(from https://usa.dtdc.com/)
11:51:01	3008/3008	---MCZ	200	added ('OK')	text/css	etag:W/%226204e197-bc0%22	https://usa.dtdc.com/sites/usa.dtdc.com/files/css/css_lQaZfjVpwP_oGNqdtWCSpJT1EMqXdMiU84ekLLxQnc4.css	C:/Users/APPTIDE%20TECHNOLOGIES/Documents/TRIUMPH/dtdc_httrack_copied/usa.dtdc.com/sites/usa.dtdc.com/files/css/css_lQaZfjVpwP_oGNqdtWCSpJT1EMqXdMiU84ekLLxQnc4.css	(from https://usa.dtdc.com/)
11:51:02	141/141	---MCZ	200	added ('OK')	text/css	etag:W/%226204e2e0-8d%22	https://usa.dtdc.com/sites/usa.dtdc.com/files/css/css_vZ_wrMQ9Og-YPPxa1q4us3N7DsZMJa-14jShHgRoRNo.css	C:/Users/APPTIDE%20TECHNOLOGIES/Documents/TRIUMPH/dtdc_httrack_copied/usa.dtdc.com/sites/usa.dtdc.com/files/css/css_vZ_wrMQ9Og-YPPxa1q4us3N7DsZMJa-14jShHgRoRNo.css	(from https://usa.dtdc.com/)
11:51:02	1235/1235	---MCZ	200	added ('OK')	text/css	etag:W/%226204e197-4d3%22	https://usa.dtdc.com/sites/usa.dtdc.com/files/css/css_G8-qBIcAzonkPTT9CuydwwFsZG0cvxkIyf9e8DHEpv0.css	C:/Users/APPTIDE%20TECHNOLOGIES/Documents/TRIUMPH/dtdc_httrack_copied/usa.dtdc.com/sites/usa.dtdc.com/files/css/css_G8-qBIcAzonkPTT9CuydwwFsZG0cvxkIyf9e8DHEpv0.css	(from https://usa.dtdc.com/)
11:51:03	7115/7115	---MCZ	200	added ('OK')	text/css	etag:W/%226204e2e0-1bcb%22	https://usa.dtdc.com/sites/usa.dtdc.com/files/css/css_yqC3WNzkgxRwKhbJNWxr7toQ0ozy46OkKoOjopEDlo8.css	C:/Users/APPTIDE%20TECHNOLOGIES/Documents/TRIUMPH/dtdc_httrack_copied/usa.dtdc.com/sites/usa.dtdc.com/files/css/css_yqC3WNzkgxRwKhbJNWxr7toQ0ozy46OkKoOjopEDlo8.css	(from https://usa.dtdc.com/)
11:51:04	82292/82292	---MCZ	200	added ('OK')	text/css	etag:W/%226204e197-14174%22	https://usa.dtdc.com/sites/usa.dtdc.com/files/css/css_lCVLOsdkvt8PtsaUast0T7B0lgYk3AbgLto9nsoGg1E.css	C:/Users/APPTIDE%20TECHNOLOGIES/Documents/TRIUMPH/dtdc_httrack_copied/usa.dtdc.com/sites/usa.dtdc.com/files/css/css_lCVLOsdkvt8PtsaUast0T7B0lgYk3AbgLto9nsoGg1E.css	(from https://usa.dtdc.com/)
11:51:11	102897/102897	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:03:56%20GMT	http://netdna.bootstrapcdn.com/bootstrap/3.0.2/css/bootstrap.min.css	C:/Users/APPTIDE%20TECHNOLOGIES/Documents/TRIUMPH/dtdc_httrack_copied/netdna.bootstrapcdn.com/bootstrap/3.0.2/css/bootstrap.min.css	(from https://usa.dtdc.com/)
11:51:11	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Wed,%2013%20Apr%202022%2021:02:38%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/APPTIDE%20TECHNOLOGIES/Documents/TRIUMPH/dtdc_httrack_copied/www.google-analytics.com/analytics.js	(from https://usa.dtdc.com/)
11:51:11	132176/132176	---MCZ	200	added ('OK')	application/javascript	etag:W/%226204e197-20450%22	https://usa.dtdc.com/sites/usa.dtdc.com/files/js/js__RLT4dZVyHjWeb0BjcozDX9y9EHfZf6b8wS_bg87Zl8.js	C:/Users/APPTIDE%20TECHNOLOGIES/Documents/TRIUMPH/dtdc_httrack_copied/usa.dtdc.com/sites/usa.dtdc.com/files/js/js__RLT4dZVyHjWeb0BjcozDX9y9EHfZf6b8wS_bg87Zl8.js	(from https://usa.dtdc.com/)
11:51:13	27748/27748	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:03:56%20GMT	http://netdna.bootstrapcdn.com/bootstrap/3.0.2/js/bootstrap.min.js	C:/Users/APPTIDE%20TECHNOLOGIES/Documents/TRIUMPH/dtdc_httrack_copied/netdna.bootstrapcdn.com/bootstrap/3.0.2/js/bootstrap.min.js	(from https://usa.dtdc.com/)
11:51:13	19851/19851	---MCZ	200	added ('OK')	application/javascript	etag:W/%226204e2e0-4d8b%22	https://usa.dtdc.com/sites/usa.dtdc.com/files/js/js_obFUyTbqtcoGQtszVI46l1_oD927PzlDtlr_ilpYBqE.js	C:/Users/APPTIDE%20TECHNOLOGIES/Documents/TRIUMPH/dtdc_httrack_copied/usa.dtdc.com/sites/usa.dtdc.com/files/js/js_obFUyTbqtcoGQtszVI46l1_oD927PzlDtlr_ilpYBqE.js	(from https://usa.dtdc.com/)
11:51:13	283508/283508	---MCZ	200	added ('OK')	application/javascript	etag:W/%226204e2e0-45374%22	https://usa.dtdc.com/sites/usa.dtdc.com/files/js/js_J_hRSUpGpeVFmgZqCHPa0g-Vkx9LGL3CkaPFIZwV_i8.js	C:/Users/APPTIDE%20TECHNOLOGIES/Documents/TRIUMPH/dtdc_httrack_copied/usa.dtdc.com/sites/usa.dtdc.com/files/js/js_J_hRSUpGpeVFmgZqCHPa0g-Vkx9LGL3CkaPFIZwV_i8.js	(from https://usa.dtdc.com/)
11:51:14	499/499	---MCZ	200	added ('OK')	application/javascript	etag:W/%226204e197-1f3%22	https://usa.dtdc.com/sites/usa.dtdc.com/files/js/js_WhjT9uYzCAAGnRgJaISwsSfPsQbOFFCOx9m2fCRcUno.js	C:/Users/APPTIDE%20TECHNOLOGIES/Documents/TRIUMPH/dtdc_httrack_copied/usa.dtdc.com/sites/usa.dtdc.com/files/js/js_WhjT9uYzCAAGnRgJaISwsSfPsQbOFFCOx9m2fCRcUno.js	(from https://usa.dtdc.com/)
